rank,score
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,5e-05
11,0.0003
12,0.0005
13,0.0009
14,0.00098
15,0.00106
16,0.00126
17,0.00129
18,0.00132
19,0.00158
20,0.00186
21,0.00261
22,0.00313
23,0.00325
24,0.00327
25,0.00332
26,0.00335
27,0.00343
28,0.00344
29,0.00345
30,0.0035
31,0.00351
32,0.00356
33,0.00359
34,0.00363
35,0.00364
36,0.00365
37,0.00365
38,0.00366
39,0.0037
40,0.0037
41,0.00374
42,0.00375
43,0.00379
44,0.0038
45,0.00382
46,0.00383
47,0.00388
48,0.00388
49,0.00389
50,0.00389
51,0.00389
52,0.00391
53,0.00392
54,0.00394
55,0.00394
56,0.00402
57,0.00414
58,0.00416
59,0.00421
60,0.00439
61,0.00477
62,0.00489
63,0.005
64,0.00539
65,0.0055
66,0.00551
67,0.00568
68,0.00583
69,0.00615
70,0.00631
71,0.00638
72,0.00661
73,0.00677
74,0.0068
75,0.00725
76,0.00733
77,0.00733
78,0.00738
79,0.0074
80,0.00757
81,0.00757
82,0.00763
83,0.00823
84,0.00857
85,0.00872
86,0.00895
87,0.00898
88,0.00916
89,0.00928
90,0.0094
91,0.00981
92,0.00999
93,0.01098
94,0.01129
95,0.01174
96,0.01219
97,0.01219
98,0.01233
99,0.0125
100,0.01255
101,0.01277
102,0.0135
103,0.01359
104,0.01367
105,0.01667
106,0.01667
107,0.01717
108,0.0178
109,0.01851
110,0.01865
111,0.01969
112,0.02122
113,0.02342
114,0.02551
115,0.02606
116,0.02667
117,0.02673
118,0.02673
119,0.02796
120,0.03128
121,0.03294
122,0.03359
123,0.0375
124,0.03862
125,0.03966
126,0.04247
127,0.04329
128,0.04598
129,0.05252
130,0.05446
131,0.05718
132,0.05783
133,0.05862
134,0.06442
135,0.06447
136,0.0703
137,0.07448
138,0.08114
139,0.08361
140,0.08783
141,0.0897
142,0.09421
143,0.09427
144,0.09546
145,0.09551
146,0.09594
147,0.096
148,0.0961
149,0.09629
150,0.0965
151,0.09846
152,0.10028
153,0.10788
154,0.11477
155,0.11515
156,0.13688
157,0.13783
158,0.13797
159,0.13987
160,0.14098
161,0.14261
162,0.14262
163,0.14273
164,0.14697
165,0.14822
166,0.15267
167,0.15319
168,0.15321
169,0.15387
170,0.15421
171,0.15707
172,0.15777
173,0.15945
174,0.16052
175,0.16059
176,0.16077
177,0.16204
178,0.16284
179,0.16311
180,0.16325
181,0.1642
182,0.1686
183,0.17009
184,0.17038
185,0.1707
186,0.17222
187,0.1724
188,0.17356
189,0.17482
190,0.17484
191,0.17775
192,0.17898
193,0.17918
194,0.17934
195,0.18016
196,0.1804
197,0.18044
198,0.18142
199,0.18186
200,0.18246
201,0.18324
202,0.18477
203,0.1848
204,0.18494
205,0.18533
206,0.18594
207,0.18642
208,0.18674
209,0.18686
210,0.1869
211,0.187
212,0.18776
213,0.18849
214,0.1896
